datum,mesto,naslov,sifra_umetnika
2015-05-03,8,Ice Cream Cake,354121
2015-05-03,9,Two Loves,365474
2015-05-03,10,Cherry Blossom Ending,235714
2015-05-10,1,CALL ME BABY,352301
2015-05-10,2,AH YEAH,235496
2015-05-10,3,Who’s Your Mother,390817
2015-05-10,4,Only You,234704
2015-05-10,5,Tell Me One More Time,232782
2015-05-10,6,Me You (Feat. Baek Ye-rin Of 15&),234841
2015-05-10,7,Zero For Conduct,238553
2015-05-10,8,Spring Breeze (Feat. Naul),233291
2015-05-10,9,Two Loves,365474
2015-05-10,10,Snow In April,234863
2015-05-17,1,I NEED U,347972
2015-05-17,2,Me You (Feat. Baek Ye-rin Of 15&),234841
2015-05-17,3,AH YEAH,235496
2015-05-17,4,Who’s Your Mother,390817
2015-05-17,5,Only You,234704
2015-05-17,6,CALL ME BABY,352301
2015-05-17,7,Tell Me One More Time,232782
2015-05-17,8,Celepretty,238019
2015-05-17,9,Zero For Conduct,238553
2015-05-17,10,Two Loves,365474
2015-05-24,1,LOSER,277428
2015-05-24,2,I NEED U,347972
2015-05-24,3,BAE BAE,277428
2015-05-24,4,AH YEAH,235496
2015-05-24,5,Me You (Feat. Baek Ye-rin Of 15&),234841
2015-05-24,6,Who’s Your Mother,390817
2015-05-24,7,Only You,234704
2015-05-24,8,CALL ME BABY,352301
2015-05-24,9,Tell Me One More Time,232782
2015-05-24,10,Celepretty / 연예할래,238019
2015-05-31,1,LOSER,277428
2015-05-31,2,Kontrol,
2015-05-31,3,BAE BAE,277428
2015-05-31,4,AH YEAH,235496
2015-05-31,5,Who Are You (Feat. Gaeko),232715
2015-05-31,6,I NEED U,347972
2015-05-31,7,Me You (Feat. Baek Ye-rin Of 15&),234841
2015-05-31,8,니가 처음이야 (Feat. 기리보이),
2015-05-31,9,Into You,237811
2015-05-31,10,Who’s Your Mother,390817
2015-06-07,1,View,233581
2015-06-07,2,Heart,350612
2015-06-07,3,LOSER,277428
2015-06-07,4,Eat,236472
2015-06-07,5,I NEED U,347972
2015-06-07,6,BAE BAE,277428
2015-06-07,7,Me You (Feat. Baek Ye-rin Of 15&),234841
2015-06-07,8,The Answer,
2015-06-07,9,Who’s Your Mother,390817
2015-06-07,10,AH YEAH,235496
2015-06-14,1,View,233581
2015-06-14,2,Heart,350612
2015-06-14,3,LOSER,277428
2015-06-14,4,Eat,236472
2015-06-14,5,BAE BAE,277428
2015-06-14,6,The Answer,
2015-06-14,7,AH YEAH,235496
2015-06-14,8,Me You (Feat. Baek Ye-rin Of 15&),234841
2015-06-14,9,I NEED U,347972
2015-06-14,10,Who Are You (Feat. Gaeko),232715
2015-06-21,1,LOVE ME RIGHT,352301
2015-06-21,2,BANG BANG BANG,277428
2015-06-21,3,View,233581
2015-06-21,4,Heart,350612
2015-06-21,5,LOSER,277428
2015-06-21,6,Eat,236472
2015-06-21,7,Shouldn’t Have,236366
2015-06-21,8,AH YEAH,235496
2015-06-21,9,You’re My Home,234527
2015-06-21,10,Me You (Feat. Baek Ye-rin Of 15&),234841
2015-06-28,1,LOVE ME RIGHT,352301
2015-06-28,2,BANG BANG BANG,277428
2015-06-28,3,Shouldn’t Have,236366
2015-06-28,4,And Goodbye,395588
2015-06-28,5,View,233581
2015-06-28,6,Heart,350612
2015-06-28,7,LOSER,277428
2015-06-28,8,Eat,236472
2015-06-28,9,AH YEAH,235496
2015-06-28,10,Cupid,233385
2015-07-12,1,Shake It,234669
2015-07-12,2,Heart Attack,
2015-07-12,3,AH-AH,234739
2015-07-12,4,Shouldn’t Have,236366
2015-07-12,5,Um Oh Ah Yeh,353617
2015-07-12,6,BANG BANG BANG,277428
2015-07-12,7,Heart,350612
2015-07-12,8,View,233581
2015-07-12,9,LOVE ME RIGHT,352301
2015-07-12,10,My House,233671
2015-07-19,1,Shake It,234669
2015-07-19,2,Heart Attack,
2015-07-19,3,It’s Ok,343790
2015-07-19,4,IF YOU,277428
2015-07-19,5,Um Oh Ah Yeh,353617
2015-07-19,6,Sober,277428
2015-07-19,7,Shouldn’t Have,236366
2015-07-19,8,View,233581
2015-07-19,9,Heart,350612
2015-07-19,10,My House,233671
2015-07-26,1,PARTY,233414
2015-07-26,2,Ring My Bell,235056
2015-07-26,3,IF YOU,277428
2015-07-26,4,Shake It,234669
2015-07-26,5,Heart Attack,
2015-07-26,6,Come And Goes,238506
2015-07-26,7,Sober,277428
2015-07-26,8,Um Oh Ah Yeh,353617
2015-07-26,9,It’s Ok,343790
2015-07-26,10,Shouldn’t Have,236366
2015-08-02,1,Bad,234677
2015-08-02,2,PARTY,233414
2015-08-02,3,Come And Goes,238506
2015-08-02,4,Shake It,234669
2015-08-02,5,Heart Attack,
2015-08-02,6,Ring My Bell,235056
2015-08-02,7,Remember,343777
2015-08-02,8,Wiing Wiing,238506
2015-08-02,9,IF YOU,277428
2015-08-02,10,Um Oh Ah Yeh,353617
2015-08-09,1,Remember,343777
2015-08-09,2,Devil,374254
2015-08-09,3,PARTY,233414
2015-08-09,4,Wiing Wiing,238506
2015-08-09,5,Yanghwa Bridge,236472
2015-08-09,6,Bad,234677
2015-08-09,7,Come And Goes,238506
2015-08-09,8,Shake It,234669
2015-08-09,9,Heart Attack,
2015-08-09,10,Ring My Bell,235056
2015-08-16,1,YeY,234315
2015-08-16,2,Remember,343777
2015-08-16,3,Wiing Wiing,238506
2015-08-16,4,PARTY,233414
2015-08-16,5,Yanghwa Bridge,236472
2015-08-16,6,Come And Goes,238506
2015-08-16,7,Shake It,234669
2015-08-16,8,Heart Attack,
2015-08-16,9,Me Gustas Tu,357139
2015-08-16,10,BANG BANG BANG,277428
2015-08-23,1,Married To The Music,233581
2015-08-23,2,I Feel You,233357
2015-08-23,3,YeY,234315
2015-08-23,4,Let’s Not Fall In Love,277428
2015-08-23,5,Remember,343777
2015-08-23,6,Wiing Wiing,238506
2015-08-23,7,Shake It,234669
2015-08-23,8,Yanghwa Bridge,236472
2015-08-23,9,PARTY,233414
2015-08-23,10,Come And Goes,238506
2015-08-30,1,Let’s Not Fall In Love,277428
2015-08-30,2,Sweet Girl,235173
2015-08-30,3,I Feel You,233357
2015-08-30,4,Wiing Wiing,238506
2015-08-30,5,Remember,343777
2015-08-30,6,Shake It,234669
2015-08-30,7,Yanghwa Bridge,236472
2015-08-30,8,PARTY,233414
2015-08-30,9,YeY,234315
2015-08-30,10,BANG BANG BANG,277428
2015-09-06,1,Lion Heart,233414
