datum,mesto,naslov,sifra_umetnika
2016-06-05,6,RE-BYE,372941
2016-06-05,7,I Just Wanna Dance,239172
2016-06-05,8,Nod Nod,239174
2016-06-05,9,My Lips Like a Warm Cup of Coffee,237713
2016-06-05,10,All in,351688
2016-06-12,1,CHEER UP,364940
2016-06-12,2,She is,238373
2016-06-12,3,So So,236366
2016-06-12,4,Good Luck,
2016-06-12,5,Hopefully Sky,
2016-06-12,6,I Don’t Love You,235597
2016-06-12,7,Inferiority Complex,238805
2016-06-12,8,Dream Girls,239165
2016-06-12,9,RE-BYE,372941
2016-06-12,10,My Lips Like a Warm Cup of Coffee,237713
2016-06-19,1,CHEER UP,364940
2016-06-19,2,I Don’t Love You,235597
2016-06-19,3,So So,236366
2016-06-19,4,She is,238373
2016-06-19,5,Hopefully Sky,
2016-06-19,6,Inferiority Complex,238805
2016-06-19,7,Good Luck,
2016-06-19,8,#WYD,
2016-06-19,9,L.I.E,235496
2016-06-19,10,RE-BYE,372941
2016-06-26,1,Monster,352301
2016-06-26,2,CHEER UP,364940
2016-06-26,3,I Don’t Love You,235597
2016-06-26,4,So So,236366
2016-06-26,5,L.I.E,235496
2016-06-26,6,Hopefully Sky,
2016-06-26,7,Inferiority Complex,238805
2016-06-26,8,Lucky One,352301
2016-06-26,9,D (Half Moon) (Feat. 개코),238991
2016-06-26,10,Good Luck,
2016-07-03,1,Monster,352301
2016-07-03,2,CHEER UP,364940
2016-07-03,3,I Don’t Love You,235597
2016-07-03,4,So So,236366
2016-07-03,5,GOOD (Feat. ELO),349936
2016-07-03,6,Hopefully Sky,
2016-07-03,7,L.I.E,235496
2016-07-03,8,Inferiority Complex,238805
2016-07-03,9,Lucky One,352301
2016-07-03,10,I Really Like You,397557
2016-07-10,1,Monster,352301
2016-07-10,2,I Like That,234669
2016-07-10,3,CHEER UP,364940
2016-07-10,4,Bye Bye My Blue,360792
2016-07-10,5,I Don’t Love You,235597
2016-07-10,6,So So,236366
2016-07-10,7,Hopefully Sky,
2016-07-10,8,Sugar and Me,
2016-07-10,9,No Matter What,
2016-07-10,10,Inferiority Complex,238805
2016-07-17,1,Starlight (Feat. DEAN),361999
2016-07-17,2,I Like That,234669
2016-07-17,3,CHEER UP,364940
2016-07-17,4,Wonderland,239241
2016-07-17,5,Bye Bye My Blue,360792
2016-07-17,6,Shut Up,
2016-07-17,7,Why,361999
2016-07-17,8,Monster,352301
2016-07-17,9,I Don’t Love You,235597
2016-07-17,10,So So,236366
2016-07-24,1,Ribbon,234315
2016-07-24,2,Why So Lonely,233357
2016-07-24,3,Shut Up,
2016-07-24,4,Why,361999
2016-07-24,5,CHEER UP,364940
2016-07-24,6,I Like That,234669
2016-07-24,7,Very Nice,345359
2016-07-24,8,Monster,352301
2016-07-24,9,Bye Bye My Blue,360792
2016-07-24,10,I Don’t Love You,235597
2016-07-31,1,NAVILLERA,357139
2016-07-31,2,Why So Lonely,233357
2016-07-31,3,Very Nice,345359
2016-07-31,4,Ribbon,234315
2016-07-31,5,Shut Up,
2016-07-31,6,CHEER UP,364940
2016-07-31,7,I Like That,234669
2016-07-31,8,Why,361999
2016-07-31,9,Fire Truck,365887
2016-07-31,10,I Don’t Love You,235597
2016-08-07,1,NAVILLERA,357139
2016-08-07,2,Why So Lonely,233357
2016-08-07,3,CHEER UP,364940
2016-08-07,4,Take Me Now,379052
2016-08-07,5,Ribbon,234315
2016-08-07,6,Shut Up,
2016-08-07,7,I Like That,234669
2016-08-07,8,Why,361999
2016-08-07,9,For Now,
2016-08-07,10,I Don’t Love You,235597
2016-08-14,1,Why So Lonely,233357
2016-08-14,2,NAVILLERA,357139
2016-08-14,3,CHEER UP,364940
2016-08-14,4,Ribbon,234315
2016-08-14,5,Shut Up,
2016-08-14,6,I Like That,234669
2016-08-14,7,I Don’t Love You,235597
2016-08-14,8,Why,361999
2016-08-14,9,All Mine,234238
2016-08-14,10,Can’t Help Myself,236594
2016-08-21,1,NAVILLERA,357139
2016-08-21,2,Why So Lonely,233357
2016-08-21,3,A-ing,348488
2016-08-21,4,CHEER UP,364940
2016-08-21,5,Us on Summer Nights,
2016-08-21,6,How’s This?,399205
2016-08-21,7,Shut Up,
2016-08-21,8,I Don’t Love You,235597
2016-08-21,9,I Like That,234669
2016-08-21,10,Ribbon,234315
2016-08-28,1,Whatta Man,239165
2016-08-28,2,NAVILLERA,357139
2016-08-28,3,Whistle,389341
2016-08-28,4,CHEER UP,364940
2016-08-28,5,Fantasy,
2016-08-28,6,Why So Lonely,233357
2016-08-28,7,Us on Summer Nights,
2016-08-28,8,A-ing,348488
2016-08-28,9,That Summer (0805),233414
2016-08-28,10,I Don’t Love You,235597
2016-09-04,1,Lotto,352301
2016-09-04,2,Whistle,389341
2016-09-04,3,Whatta Man,239165
2016-09-04,4,CHEER UP,364940
2016-09-04,5,NAVILLERA,357139
2016-09-04,6,Fantasy,
2016-09-04,7,Why So Lonely,233357
2016-09-04,8,Us on Summer Nights,
2016-09-04,9,I Don’t Love You,235597
2016-09-04,10,Shut Up,
2016-09-11,1,Lotto,352301
2016-09-11,2,Whistle,389341
2016-09-11,3,Making a New Ending For This Story,239354
2016-09-11,4,CHEER UP,364940
2016-09-11,5,NAVILLERA,357139
2016-09-11,6,If You,235488
2016-09-11,7,Whatta Man,239165
2016-09-11,8,Thursday Night,235597
2016-09-11,9,Why So Lonely,233357
2016-09-11,10,I Don’t Love You,235597
2016-09-18,1,Making a New Ending For This Story,239354
2016-09-18,2,Louder,352301
2016-09-18,3,Thursday Night,235597
2016-09-18,4,Whistle,389341
2016-09-18,5,NAVILLERA,357139
2016-09-18,6,If You,235488
2016-09-18,7,CHEER UP,364940
2016-09-18,8,Whatta Man,239165
2016-09-18,9,I Don’t Love You,235597
2016-09-18,10,Thought of You,235506
2016-09-25,1,The Love I Committed,393964
2016-09-25,2,Russian Roulette,354121
2016-09-25,3,Making a New Ending For This Story,239354
2016-09-25,4,Whistle,389341
2016-09-25,5,Thursday Night,235597
2016-09-25,6,CHEER UP,364940
2016-09-25,7,NAVILLERA,357139
2016-09-25,8,If You,235488
2016-09-25,9,Amazing You,239354
2016-09-25,10,Lotto,352301
2016-10-02,1,The Love I Committed,393964
2016-10-02,2,Russian Roulette,354121
2016-10-02,3,Promise (I`ll be),233671
2016-10-02,4,Making a New Ending For This Story,239354
2016-10-02,5,CHEER UP,364940
2016-10-02,6,Thursday Night,235597
2016-10-02,7,Whistle,389341
2016-10-02,8,NAVILLERA,357139
2016-10-02,9,I’ll Give You the Universe,239348
2016-10-02,10,Amazing You,239354
2016-10-09,1,The Eye,234677
2016-10-09,2,The Love I Committed,393964
2016-10-09,3,Russian Roulette,354121
2016-10-09,4,I’ll Give You the Universe,239348
2016-10-09,5,Making a New Ending For This Story,239354
2016-10-09,6,CHEER UP,364940
2016-10-09,7,The End,382735
2016-10-09,8,Thursday Night,235597
2016-10-09,9,Amazing You,239354
2016-10-09,10,Whistle,389341
2016-10-16,1,Hard Carry,348434
2016-10-16,2,I’ll Give You the Universe,239348
2016-10-16,3,The Love I Committed,393964
2016-10-16,4,The Eye,234677
2016-10-16,5,Only One,343777
2016-10-16,6,Russian Roulette,354121
2016-10-16,7,Making a New Ending For This Story,239354
2016-10-16,8,CHEER UP,364940
2016-10-16,9,I’m the Only One That Can’t Date,239348
2016-10-16,10,Amazing You,239354
2016-10-23,1,1 of 1,233581
2016-10-23,2,Breath,364567
2016-10-23,3,I’ll Give You the Universe,239348
2016-10-23,4,The Love I Committed,393964
2016-10-23,5,Russian Roulette,354121
2016-10-23,6,Stay as You Are,391811
2016-10-23,7,The Eye,234677
2016-10-23,8,Only One,343777
2016-10-23,9,Making a New Ending For This Story,239354
2016-10-23,10,Hard Carry,348434
2016-10-30,1,Blood Sweat Tears,347972
2016-10-30,2,1 of 1,233581
2016-10-30,3,I’ll Give You the Universe,239348
2016-10-30,4,Three Words,232580
2016-10-30,5,The Love I Committed,393964
2016-10-30,6,Breath,364567
2016-10-30,7,Russian Roulette,354121
2016-10-30,8,CHEER UP,364940
2016-10-30,9,Making a New Ending For This Story,239354
2016-10-30,10,Fall,237714
2016-11-06,1,Blood Sweat Tears,347972
2016-11-06,2,Very Very Very,239165
2016-11-06,3,I’ll Give You the Universe,239348
2016-11-06,4,The Love I Committed,393964
2016-11-06,5,Fall,237714
2016-11-06,6,Breath,364567
2016-11-06,7,1 of 1,233581
2016-11-06,8,Beside Me,365474
2016-11-06,9,Making a New Ending For This Story,239354
2016-11-06,10,Three Words,232580
2016-11-13,1,TT,364940
2016-11-13,2,Very Very Very,239165
2016-11-13,3,Blood Sweat Tears,347972
2016-11-13,4,I’ll Give You the Universe,239348
2016-11-13,5,The Love I Committed,393964
2016-11-13,6,Breath,364567
2016-11-13,7,Making a New Ending For This Story,239354
2016-11-13,8,Fall,237714
2016-11-13,9,Three Words,232580
2016-11-13,10,Beside Me,365474
2016-11-20,1,TT,364940
2016-11-20,2,Hey Mama!,239455
2016-11-20,3,The Closer,
2016-11-20,4,Very Very Very,239165
2016-11-20,5,11:11,361999
2016-11-20,6,Blood Sweat Tears,347972
2016-11-20,7,Playing With Fire,389341
2016-11-20,8,I’ll Give You the Universe,239348
2016-11-20,9,The Love I Committed,393964
2016-11-20,10,Breath,364567
2016-11-27,1,TT,364940
2016-11-27,2,11:11,361999
2016-11-27,3,Decalcomanie,353617
2016-11-27,4,Hey Mama!,239455
2016-11-27,5,Very Very Very,239165
2016-11-27,6,I’ll Be Your Man,343790
2016-11-27,7,Playing With Fire,389341
2016-11-27,8,I’ll Give You the Universe,239348
2016-11-27,9,The Closer,
2016-11-27,10,The Love I Committed,393964
2016-12-04,1,TT,364940
2016-12-04,2,Tell Me What To Do,233581
2016-12-04,3,Decalcomanie,353617
2016-12-04,4,11:11,361999
2016-12-04,5,Playing With Fire,389341
2016-12-04,6,Very Very Very,239165
2016-12-04,7,I’ll Give You the Universe,239348
2016-12-04,8,"All I Wanna Do (K) (Feat. Hoody, Loco)",234783
2016-12-04,9,Hey Mama!,239455
2016-12-04,10,Making a New Ending For This Story,239354
2016-12-11,1,TT,364940
2016-12-11,2,White Night,239313
2016-12-11,3,Decalcomanie,353617
2016-12-11,4,Sweet Dream,
2016-12-11,5,Flower Road,369146
2016-12-11,6,Playing With Fire,389341
2016-12-11,7,Very Very Very,239165
2016-12-11,8,11:11,361999
2016-12-11,9,I’ll Give You the Universe,239348
2016-12-11,10,"All I Wanna Do (K) (Feat. Hoody, Loco)",234783
2016-12-18,1,A Lie,235173
2016-12-18,2,TT,364940
2016-12-18,3,The Fool,239505
2016-12-18,4,Flower Road,369146
2016-12-18,5,Decalcomanie,353617
2016-12-18,6,"BERMUDA TRIANGLE (Feat. Crush, DEAN)",344897
2016-12-18,7,Sweet Dream,
2016-12-18,8,Playing With Fire,389341
2016-12-18,9,I’ll Give You the Universe,239348
2016-12-18,10,11:11,361999
2016-12-25,1,Boom Boom,345359
2016-12-25,2,Star,404858
2016-12-25,3,Couple (2016),232580
2016-12-25,4,TT,364940
2016-12-25,5,A Lie,235173
2016-12-25,6,The Fool,239505
2016-12-25,7,Decalcomanie,353617
2016-12-25,8,Flower Road,369146
2016-12-25,9,"BERMUDA TRIANGLE (Feat. Crush, DEAN)",344897
2016-12-25,10,I’ll Give You the Universe,239348
2017-01-01,1,LAST DANCE,277428
2017-01-01,2,TT,364940
2017-01-01,3,Star,404858
2017-01-01,4,GIRLFRIEND,277428
2017-01-01,5,Boom Boom,345359
2017-01-01,6,Decalcomanie,353617
2017-01-01,7,The Fool,239505
2017-01-01,8,A Lie,235173
2017-01-01,9,Flower Road,369146
2017-01-01,10,I’ll Give You the Universe,239348
2017-01-08,1,For Life,352301
2017-01-08,2,FXXK It,277428
2017-01-08,3,TT,364940
2017-01-08,4,Say Good,239348
2017-01-08,5,LAST DANCE,277428
2017-01-08,6,Star,404858
2017-01-08,7,Decalcomanie,353617
2017-01-08,8,I’ll Give You the Universe,239348
2017-01-08,9,The Fool,239505
2017-01-08,10,Very Very Very,239165
2017-01-15,1,TT,364940
2017-01-15,2,FXXK It,277428
2017-01-15,3,For Life,352301
2017-01-15,4,Say Good,239348
2017-01-15,5,LAST DANCE,277428
2017-01-15,6,Decalcomanie,353617
2017-01-15,7,Star,404858
2017-01-15,8,I’ll Give You the Universe,239348
2017-01-15,9,Very Very Very,239165
2017-01-15,10,CHEER UP,364940
2017-01-22,1,FXXK It,277428
2017-01-22,2,Last Goodbye,372941
2017-01-22,3,Say Good,239348
2017-01-22,4,TT,364940
2017-01-22,5,TOUCH,232571
2017-01-22,6,Excuse Me,
2017-01-22,7,Decalcomanie,353617
2017-01-22,8,LAST DANCE,277428
2017-01-22,9,Star,404858
2017-01-22,10,I’ll Give You the Universe,239348
2017-01-29,1,FXXK It,277428
2017-01-29,2,Last Goodbye,372941
2017-01-29,3,TT,364940
2017-01-29,4,Limitless,365887
2017-01-29,5,Say Good,239348
2017-01-29,6,TOUCH,232571
2017-01-29,7,BOMB (Feat. San E),239563
2017-01-29,8,I Wish,366246
2017-01-29,9,Decalcomanie,353617
2017-02-05,1,Pretending to be Happy,239261
2017-02-05,2,Love Affair,238441
2017-02-05,3,FXXK It,277428
2017-02-05,4,Last Goodbye,372941
2017-02-05,5,The Best Gift,387567
2017-02-05,6,TT,364940
2017-02-05,7,Don`t Say No,
2017-02-05,8,Say Good,239348
2017-02-05,9,Excuse Me,
2017-02-05,10,Downpour,239165
2017-02-12,1,Pretending to be Happy,239261
2017-02-12,2,TT,364940
2017-02-12,3,Last Goodbye,372941
2017-02-12,4,FXXK It,277428
2017-02-12,5,Say Good,239348
2017-02-12,6,Nosedive,
2017-02-12,7,Don`t Say No,
2017-02-12,8,I’ll Give You the Universe,239348
2017-02-12,9,The Best Gift,387567
2017-02-12,10,Downpour,239165
2017-02-19,1,Rookie,354121
2017-02-19,2,The Song,236472
2017-02-19,3,Complex (feat. G-DRAGON),236472
2017-02-19,4,TT,364940
2017-02-19,5,Last Goodbye,372941
2017-02-19,6,Pretending to be Happy,239261
2017-02-19,7,FXXK It,277428
2017-02-19,8,Say Good,239348
2017-02-19,9,Lost Without You,237697
2017-02-19,10,Excuse Me,
2017-02-26,1,Rookie,354121
2017-02-26,2,YESTERDAY,235201
2017-02-26,3,The Song,236472
2017-02-26,4,Last Goodbye,372941
2017-02-26,5,Lost Without You,237697
2017-02-26,6,TT,364940
2017-02-26,7,FXXK It,277428
2017-02-26,8,Say Good,239348
2017-02-26,9,Complex (feat. G-DRAGON),236472
2017-02-26,10,Pretending to be Happy,239261
2017-03-05,1,Spring Day,347972
2017-03-05,2,Rookie,354121
2017-03-05,3,Rain,
2017-03-05,4,YESTERDAY,235201
2017-03-05,5,TT,364940
2017-03-05,6,Last Goodbye,372941
2017-03-05,7,The Song,236472
2017-03-05,8,Oppa,238517
2017-03-05,9,Say Good,239348
2017-03-05,10,Lost Without You,237697
2017-03-12,1,KNOCK KNOCK,364940
2017-03-12,2,Spring Day,347972
2017-03-12,3,Rookie,354121
2017-03-12,4,Come Over,238991
2017-03-12,5,TT,364940
2017-03-12,6,Last Goodbye,372941
2017-03-12,7,YESTERDAY,235201
2017-03-12,8,The Song,236472
2017-03-12,9,Rain,
2017-03-12,10,Say Good,239348
2017-03-19,1,Fine,361999
2017-03-19,2,KNOCK KNOCK,364940
2017-03-19,3,A Girl Like Me,239241
2017-03-19,4,WoW!,354644
2017-03-19,5,Spring Day,347972
2017-03-19,6,Rookie,354121
2017-03-19,7,Last Goodbye,372941
2017-03-19,8,TT,364940
2017-03-19,9,Come Over,238991
2017-03-19,10,YESTERDAY,235201
2017-03-26,1,KNOCK KNOCK,364940
2017-03-26,2,MOVIE,343790
2017-03-26,3,FINGERTIP,357139
2017-03-26,4,Fine,361999
2017-03-26,5,WoW!,354644
2017-03-26,6,Rookie,354121
2017-03-26,7,Last Goodbye,372941
2017-03-26,8,Spring Day,347972
2017-03-26,9,TT,364940
2017-03-26,10,Say Good,239348
2017-04-02,1,Never Ever,348434
2017-04-02,2,KNOCK KNOCK,364940
2017-04-02,3,Fine,361999
2017-04-02,4,FINGERTIP,357139
2017-04-02,5,MOVIE,343790
2017-04-02,6,Cherry Blossom Ending,235714
2017-04-02,7,Last Goodbye,372941
2017-04-02,8,Rookie,354121
2017-04-02,9,TT,364940
2017-04-02,10,Spring Day,347972
2017-04-09,1,Plz Don’t Be Sad,403584
2017-04-09,2,KNOCK KNOCK,364940
2017-04-09,3,Beautiful,351688
2017-04-09,4,Last Goodbye,372941
2017-04-09,5,Fine,361999
2017-04-09,6,Never Ever,348434
2017-04-09,7,Cherry Blossom Ending,235714
2017-04-09,8,FINGERTIP,357139
2017-04-09,9,Between Us,234452
2017-04-09,10,It’s Still Beautiful,403584
2017-04-16,1,Plz Don’t Be Sad,403584
2017-04-16,2,Through the Night,350612
2017-04-16,3,KNOCK KNOCK,364940
2017-04-16,4,I`ll Be Yours,235056
2017-04-16,5,Cherry Blossom Ending,235714
2017-04-16,6,Between Us,234452
2017-04-16,7,Last Goodbye,372941
2017-04-16,8,Fine,361999
2017-04-16,9,Never Ever,348434
2017-04-16,10,Beautiful,351688
2017-04-23,1,Plz Don’t Be Sad,403584
2017-04-23,2,REALLY REALLY,355065
2017-04-23,3,Through the Night,350612
2017-04-23,4,Make Me Love You,361999
2017-04-23,5,KNOCK KNOCK,364940
2017-04-23,6,Cherry Blossom Ending,235714
2017-04-23,7,Coloring Book,348488
2017-04-23,8,Can’t You Love Any More,350612
2017-04-23,9,Never Ever,348434
2017-04-23,10,Last Goodbye,372941
2017-04-30,1,Love is,234739
2017-04-30,2,Can’t You Love Any More,350612
2017-04-30,3,The Spring,
2017-04-30,4,REALLY REALLY,355065
2017-04-30,5,Through the Night,350612
2017-04-30,6,Plz Don’t Be Sad,403584
2017-04-30,7,KNOCK KNOCK,364940
2017-04-30,8,Cherry Blossom Ending,235714
2017-04-30,9,Make Me Love You,361999
2017-04-30,10,Marry Me,
2017-05-07,1,Hwi hwi,404478
2017-05-07,2,Can’t You Love Any More,350612
2017-05-07,3,REALLY REALLY,355065
2017-05-07,4,The Spring,
2017-05-07,5,Through the Night,350612
2017-05-07,6,KNOCK KNOCK,364940
2017-05-07,7,She`s a Baby,344897
2017-05-07,8,Plz Don’t Be Sad,403584
2017-05-07,9,BLUE MOON (Prod. GroovyRoom),
2017-05-07,10,Oppa,238517
2017-05-14,1,Palette (Feat. G-DRAGON),350612
2017-05-14,2,TOMBOY,238506
2017-05-14,3,Can’t You Love Any More,350612
2017-05-14,4,Wine (Feat.Changmo) (Prod. SUGA),
2017-05-14,5,REALLY REALLY,355065
2017-05-14,6,KNOCK KNOCK,364940
2017-05-14,7,Plz Don’t Be Sad,403584
2017-05-14,8,Lonely (Feat. Taeyeon),238373
2017-05-14,9,Cherry Blossom Ending,235714
2017-05-14,10,BLUE MOON (Prod. GroovyRoom),
2017-05-21,1,Be Well,232580
2017-05-21,2,Palette (Feat. G-DRAGON),350612
2017-05-21,3,Wine (Feat.Changmo) (Prod. SUGA),
2017-05-21,4,"Now, Us",354644
2017-05-21,5,Can’t You Love Any More,350612
2017-05-21,6,TOMBOY,238506
2017-05-21,7,REALLY REALLY,355065
2017-05-21,8,KNOCK KNOCK,364940
2017-05-21,9,Sad Song,232580
2017-05-21,10,TT,364940
2017-05-28,1,Palette (Feat. G-DRAGON),350612
2017-05-28,2,Be Well,232580
2017-05-28,3,Wine (Feat.Changmo) (Prod. SUGA),
2017-05-28,4,REALLY REALLY,355065
2017-05-28,5,Right?,
2017-05-28,6,Can’t You Love Any More,350612
2017-05-28,7,TOMBOY,238506
2017-05-28,8,"Now, Us",354644
2017-05-28,9,KNOCK KNOCK,364940
2017-05-28,10,Crazy,239354
2017-06-04,1,SIGNAL,364940
2017-06-04,2,Shangri-La,
2017-06-04,3,Right?,
2017-06-04,4,Be Well,232580
2017-06-04,5,Palette (Feat. G-DRAGON),350612
2017-06-04,6,Wine (Feat.Changmo) (Prod. SUGA),
2017-06-04,7,Sad Song,232580
2017-06-04,8,KNOCK KNOCK,364940
2017-06-04,9,REALLY REALLY,355065
2017-06-04,10,Plz Don’t Be Sad,403584
2017-06-11,1,Don’t Wanna Cry,345359
2017-06-11,2,SIGNAL,364940
2017-06-11,3,Right?,
2017-06-11,4,Palette (Feat. G-DRAGON),350612
2017-06-11,5,Shangri-La,
2017-06-11,6,Wine (Feat.Changmo) (Prod. SUGA),
2017-06-11,7,Be Well,232580
2017-06-11,8,REALLY REALLY,355065
2017-06-11,9,Goodbye for now,386080
2017-06-11,10,KNOCK KNOCK,364940
2017-06-18,1,SIGNAL,364940
2017-06-18,2,Baby,376414
2017-06-18,3,CALLING YOU,403584
2017-06-18,4,Right?,
2017-06-18,5,Palette (Feat. G-DRAGON),350612
2017-06-18,6,LONELY,234669
2017-06-18,7,Don’t Wanna Cry,345359
2017-06-18,8,Wine (Feat.Changmo) (Prod. SUGA),
2017-06-18,9,Sweet Lies,236366
2017-06-18,10,KNOCK KNOCK,364940
2017-06-25,1,SIGNAL,364940
2017-06-25,2,"무제(無題) (Untitled, 2014)",233589
2017-06-25,3,HAPPY,366246
2017-06-25,4,Don’t Wanna Cry,345359
2017-06-25,5,LONELY,234669
2017-06-25,6,Right?,
2017-06-25,7,Palette (Feat. G-DRAGON),350612
2017-06-25,8,Wind,379052
2017-06-25,9,Wine (Feat.Changmo) (Prod. SUGA),
2017-06-25,10,CALLING YOU,403584
2017-07-02,1,A Daily Song,357627
2017-07-02,2,"Untitled, 2014",233589
2017-07-02,3,SIGNAL,364940
2017-07-02,4,Can We Move on?,
2017-07-02,5,Palette (Feat. G-DRAGON),350612
2017-07-02,6,Right?,
2017-07-02,7,Wine (Feat.Changmo) (Prod. SUGA),
2017-07-02,8,LONELY,234669
2017-07-02,9,REALLY REALLY,355065
2017-07-02,10,KNOCK KNOCK,364940
2017-07-09,1,"Untitled, 2014",233589
2017-07-09,2,Shine Forever,351688
2017-07-09,3,Can We Move on?,
2017-07-09,4,A Daily Song,357627
2017-07-09,5,Yes I am,353617
2017-07-09,6,SIGNAL,364940
2017-07-09,7,As if it’s Your Last,389341
2017-07-09,8,Palette (Feat. G-DRAGON),350612
2017-07-09,9,Right?,
2017-07-09,10,Wine (Feat.Changmo) (Prod. SUGA),
2017-07-16,1,Yes I am,353617
2017-07-16,2,"Untitled, 2014",233589
2017-07-16,3,FIVE,343777
2017-07-16,4,As if it’s Your Last,389341
2017-07-16,5,Can We Move on?,
2017-07-16,6,A Daily Song,357627
2017-07-16,7,SIGNAL,364940
2017-07-16,8,Why Don`t You Know (Feat. Nuksal),346585
2017-07-16,9,KNOCK KNOCK,364940
2017-07-16,10,Palette (Feat. G-DRAGON),350612
2017-07-23,1,"You, Clouds, Rain (Feat. Shin Yong-jae)",404858
2017-07-23,2,Runner,239313
2017-07-23,3,Yes I am,353617
2017-07-23,4,FIVE,343777
2017-07-23,5,Don’t Know You,404858
2017-07-23,6,As if it’s Your Last,389341
2017-07-23,7,A Daily Song,357627
2017-07-23,8,"Untitled, 2014",233589
2017-07-23,9,Can We Move on?,
2017-07-23,10,SIGNAL,364940
2017-07-30,1,Red Flavor,354121
2017-07-30,2,"You, Clouds, Rain (Feat. Shin Yong-jae)",404858
2017-07-30,3,Yes I am,353617
2017-07-30,4,FIVE,343777
2017-07-30,5,A Daily Song,357627
2017-07-30,6,As if it’s Your Last,389341
2017-07-30,7,Don’t Know You,404858
2017-07-30,8,Artist,344897
2017-07-30,9,Runner,239313
2017-07-30,10,Can We Move on?,
2017-08-06,1,Ko Ko Bop,352301
2017-08-06,2,Red Flavor,354121
2017-08-06,3,"You, Clouds, Rain (Feat. Shin Yong-jae)",404858
2017-08-06,4,Artist,344897
2017-08-06,5,As if it’s Your Last,389341
2017-08-06,6,Yes I am,353617
2017-08-06,7,Don’t Know You,404858
2017-08-06,8,That Girl (Feat. Loco),
2017-08-06,9,A Daily Song,357627
2017-08-06,10,FIVE,343777
2017-08-13,1,Ko Ko Bop,352301
2017-08-13,2,Red Flavor,354121
2017-08-13,3,"You, Clouds, Rain (Feat. Shin Yong-jae)",404858
2017-08-13,4,Artist,344897
2017-08-13,5,As if it’s Your Last,389341
2017-08-13,6,Through the Night,350612
2017-08-13,7,A Daily Song,357627
2017-08-13,8,Don’t Know You,404858
2017-08-13,9,Yes I am,353617
2017-08-13,10,DINOSAUR,372941
2017-08-20,1,LOVE WHISPER,357139
2017-08-20,2,Ko Ko Bop,352301
2017-08-20,3,Red Flavor,354121
2017-08-20,4,"Today, Tomorrow",235970
2017-08-20,5,"You, Clouds, Rain (Feat. Shin Yong-jae)",404858
2017-08-20,6,A Daily Song,357627
2017-08-20,7,Through the Night,350612
2017-08-20,8,Don’t Know You,404858
2017-08-20,9,As if it’s Your Last,389341
2017-08-20,10,Artist,344897
2017-08-27,1,Energeti,277431
2017-08-27,2,LOVE WHISPER,357139
2017-08-27,3,Ko Ko Bop,352301
2017-08-27,4,Holiday,233414
2017-08-27,5,Red Flavor,354121
2017-08-27,6,"You, Clouds, Rain (Feat. Shin Yong-jae)",404858
2017-08-27,7,A Daily Song,357627
2017-08-27,8,LOVE ME LOVE ME,355065
2017-08-27,9,As if it’s Your Last,389341
2017-08-27,10,Through the Night,350612
2017-09-03,1,Energeti,277431
2017-09-03,2,Like It,232538
2017-09-03,3,"You, Clouds, Rain (Feat. Shin Yong-jae)",404858
2017-09-03,4,Ko Ko Bop,352301
2017-09-03,5,Red Flavor,354121
2017-09-03,6,Through the Night,350612
2017-09-03,7,LOVE WHISPER,357139
2017-09-03,8,A Daily Song,357627
2017-09-03,9,Holiday,233414
2017-09-03,10,As if it’s Your Last,389341
2017-09-10,1,Like It,232538
2017-09-10,2,Energeti,277431
2017-09-10,3,Gashina,347055
2017-09-10,4,"You, Clouds, Rain (Feat. Shin Yong-jae)",404858
2017-09-10,5,Ko Ko Bop,352301
2017-09-10,6,Red Flavor,354121
2017-09-10,7,Can’t Stop,238941
2017-09-10,8,Through the Night,350612
2017-09-10,9,LOVE WHISPER,357139
2017-09-10,10,A Daily Song,357627
2017-09-17,1,Like It,232538
2017-09-17,2,Gashina,347055
2017-09-17,3,Whisper,
2017-09-17,4,Ko Ko Bop,352301
2017-09-17,5,Energeti,277431
2017-09-17,6,JUST U (PROD. GroovyRoom),
2017-09-17,7,Through the Night,350612
2017-09-17,8,"You, Clouds, Rain (Feat. Shin Yong-jae)",404858
2017-09-17,9,Red Flavor,354121
2017-09-17,10,A Daily Song,357627
2017-09-24,1,power,352301
2017-09-24,2,Like It,232538
2017-09-24,3,Gashina,347055
2017-09-24,4,We Are (Feat. Loco & GRAY),
2017-09-24,5,Energeti,277431
2017-09-24,6,Through the Night,350612
2017-09-24,7,"You, Clouds, Rain (Feat. Shin Yong-jae)",404858
2017-09-24,8,Red Flavor,354121
2017-09-24,9,Ko Ko Bop,352301
2017-09-24,10,A Daily Song,357627
2017-10-01,1,power,352301
2017-10-01,2,Like It,232538
2017-10-01,3,Gashina,347055
2017-10-01,4,We Are (Feat. Loco & GRAY),
2017-10-01,5,SUMMER RAIN,357139
2017-10-01,6,Through the Night,350612
2017-10-01,7,Red Flavor,354121
2017-10-01,8,Energeti,277431
2017-10-01,9,"You, Clouds, Rain (Feat. Shin Yong-jae)",404858
2017-10-01,10,A Daily Song,357627
2017-10-08,1,DNA,347972
2017-10-08,2,Autumn morning,350612
2017-10-08,3,Like It,232538
2017-10-08,4,Gashina,347055
2017-10-08,5,We Are (Feat. Loco & GRAY),
2017-10-08,6,Through the Night,350612
2017-10-08,7,power,352301
2017-10-08,8,SUMMER RAIN,357139
2017-10-08,9,Red Flavor,354121
